nome,avaliacao,preco_old,preco_avista,preco_parcelado
"Smartphone Samsung Galaxy A05 128GB Preto 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,90","R$ 665,10","R$ 739,00"
"Smartphone Motorola Moto G04s 128GB Grafite 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip",4.8 (1475),"R$ 879,00","R$ 679,00","R$ 754,44"
"Smartphone Motorola Moto G24 128GB Rosa 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",4.8 (2945),"R$ 999,00","R$ 719,10","R$ 799,00"
"Smartphone Samsung Galaxy A05 128GB Prata 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,99","R$ 665,10","R$ 739,00"
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.7 (5596),"R$ 1.799,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Motorola Moto G24 128GB Grafite 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",4.8 (2945),"R$ 999,00","R$ 719,10","R$ 799,00"
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (1594),"R$ 1.299,00","R$ 799,00","R$ 887,78"
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.576,00","R$ 808,68","R$ 879,00"
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.7 (5596),"R$ 1.799,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (2970),"R$ 1.999,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Samsung Galaxy S23 256GB Preto 5G 8GB RAM 6,1” Câm Tripla + Selfie 12MP",4.9 (5347),"R$ 6.499,00","R$ 2.998,80","R$ 3.332,00"
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.576,00","R$ 808,68","R$ 879,00"
"Smartphone Motorola Moto G34 128GB Preto 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (1594),"R$ 1.299,00","R$ 799,00","R$ 887,78"
"Smartphone Samsung Galaxy A05 128GB Verde 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899,99","R$ 665,10","R$ 739,00"
"iPhone 12 Apple 128GB Branco Tela 6,1” 12MP iOS",4.8 (7667),"R$ 4.299,00","R$ 2.969,10","R$ 3.299,00"
"Smartphone Motorola Moto G84 256GB Grafite 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (2914),"R$ 1.999,00","R$ 1.439,10","R$ 1.599,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Claro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (2970),"R$ 1.999,00","R$ 1.169,10","R$ 1.299,00"
"Smartphone Motorola Moto G04s 128GB Coral 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip",4.8 (1475),"R$ 879,00","R$ 679,00","R$ 754,44"
"Apple iPhone 15 128GB Preto 6,1"" 48MP iOS 5G",4.9 (763),"R$ 7.299,00","R$ 4.859,10","R$ 5.399,00"
"Smartphone Samsung Galaxy A25 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip",4.7 (921),"R$ 2.299,00","R$ 1.484,10","R$ 1.649,00"
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Grafite,4.7 (3016),"R$ 4.499,00","R$ 2.417,07","R$ 2.599,00"
"Smartphone Motorola Moto G04s 128GB Tela 6,6 Câmera 50MP Selfie 5MP Dual Chip Android 14",4.8 (14),,"R$ 603,08","R$ 709,50"
Smartphone Motorola Moto g34 5G - 256GB 16GB Ram Boost AI Camera 50MP NFC,4.8 (316),,"R$ 1.034,10","R$ 1.149,00"
"Smartphone Infinix Smart 8 Pro 256GB Preto 4GB RAM 6,6"" Câm. 50MP + Selfie 8MP Dual Chip",4.6 (106),"R$ 1.098,90","R$ 719,10","R$ 799,00"
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Creme,4.7 (3016),"R$ 4.499,00","R$ 2.417,07","R$ 2.599,00"
"Smartphone Motorola Moto G84 256GB Azul 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip",4.8 (2914),"R$ 1.999,00","R$ 1.439,10","R$ 1.599,00"
"Smartphone Samsung Galaxy A05s 6,7"" 128GB Preto 6GB RAM Câm. Tripla 50MP + Selfie 8MP Bateria 5000mAh Dual Chip",4.8 (2538),"R$ 1.099,00","R$ 809,10","R$ 899,00"
"Smartphone Samsung Galaxy A55 128GB Azul Escuro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip",4.8 (2461),"R$ 2.999,00","R$ 1.889,10","R$ 2.099,00"
"Smartphone Samsung Galaxy A55 256GB Azul Escuro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip",4.8 (2461),"R$ 3.499,00","R$ 2.294,10","R$ 2.549,00"
"Smartphone Samsung Galaxy A15 6,5"" 128GB Verde Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.576,00","R$ 808,68","R$ 879,00"
"Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP",4.9 (2982),"R$ 9.499,00","R$ 5.939,10","R$ 6.599,00"
"Smartphone Positivo S650 Twist 5 Max 128GB Chumbo 4G Octa-Core 2GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip",4.2 (255),"R$ 899,00","R$ 499,00","R$ 554,44"
"Smartphone Samsung Galaxy A55 128GB Azul Claro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip",4.8 (2461),"R$ 2.999,00","R$ 1.889,10","R$ 2.099,00"
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Verde,4.7 (3016),"R$ 4.499,00","R$ 2.417,07","R$ 2.599,00"
"Smartphone Motorola Edge 40 Neo 256GB Caneel Bay 5G 8GB RAM 6,55"" Câm. Dupla + Selfie 32MP Dual Chip",4.8 (1150),"R$ 2.999,00","R$ 1.529,10","R$ 1.699,00"
Smartphone Motorola Moto g34 5G - 256GB 16GB Ram Boost AI Camera 50MP NFC,4.8 (316),"R$ 1.299,00","R$ 1.034,10","R$ 1.149,00"
Smartphone Motorola Moto g04s - 128GB 8 GB Ram Boost AI Camera 16MP sensor FPS lateral,4.8 (84),"R$ 899,00","R$ 629,10","R$ 699,00"
"Smartphone Samsung Galaxy A35 128GB Azul Escuro 5G 6GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip",4.8 (1045),"R$ 2.699,00","R$ 1.439,10","R$ 1.599,00"
"Smartphone Samsung Galaxy A35 128GB Rosa 5G 6GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip",4.8 (1045),"R$ 2.699,00","R$ 1.439,10","R$ 1.599,00"
"Smartphone Samsung Galaxy A05s 6,7"" 128GB Prata 6GB RAM Câm. Tripla 50MP + Selfie 8MP Bateria 5000mAh Dual Chip",4.8 (2538),"R$ 1.099,00","R$ 809,10","R$ 899,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Escuro 4G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.799,00","R$ 1.107,48","R$ 1.230,53"
"Smartphone Samsung Galaxy A25 5G 256GB 8GB 6,5'' Azul Escuro",4.7 (41),"R$ 2.640,00","R$ 1.200,17","R$ 1.411,96"
"Smartphone Motorola Moto G34 128GB 5G Tela 6,5 Câmera Dupla 50MP Selfie 16MP Dual Chip Android 14",4.8 (22),,"R$ 778,18","R$ 915,50"
"Smartphone Samsung Galaxy A05s 128GB 4G 6,7 4GB RAM Câmera Dupla 50MP Selfie 13MP Dual Chip Android 14",4.5 (11),"R$ 845,88","R$ 697,94","R$ 821,11"
Smartphone Samsung Galaxy S23 256GB Preto 5G,4.8 (544),"R$ 7.198,00","R$ 3.087,90","R$ 3.431,00"
"Apple iPhone 13 128GB Estelar Tela 6,1” 12MP",4.8 (14532),"R$ 7.599,90","R$ 3.999,00","R$ 4.443,33"
"Smartphone Infinix Hot 30i 128GB Preto 4G MediaTek 8GB RAM 6,6"" Câm. 50MP + Selfie 5MP Dual Chip",4.7 (419),"R$ 1.499,00","R$ 719,10","R$ 799,00"
"Smartphone Positivo Twist 5 64GB Azul 3G Unisoc 2GB RAM 6,26"" Câm. 8MP + Selfie 8MP Dual Chip",3.6 (270),"R$ 449,00","R$ 359,10","R$ 399,00"
Smartphone Xiaomi Redmi Note 13 256GB - 8GB RAM (Ice Blue) Azul,4.8 (24),"R$ 1.499,99","R$ 1.333,99","R$ 1.449,99"
"Smartphone Samsung Galaxy M55 256GB 5G 8GB RAM Verde Claro 6,7"" Câm. Tripla + Selfie 50MP Dual Chip",4.5 (398),"R$ 3.199,00","R$ 1.799,10","R$ 1.999,00"
Smartphone Multi G 3 4G 32GB Wi-Fi Tela 6.1 Pol. 2GB RAM Preto - P9177,4.5 (64),"R$ 459,90","R$ 366,99","R$ 398,90"
"Smartphone Samsung Galaxy A05s 128GB 4G 6,7 4GB RAM Câmera Dupla 50MP Selfie 13MP Dual Chip Android 14",4.9 (30),,"R$ 710,09","R$ 835,40"
"Smartphone Samsung Galaxy S23 Ultra 256GB Verde 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP",4.9 (2982),"R$ 9.499,00","R$ 5.939,10","R$ 6.599,00"
"Smartphone Xiaomi Redmi 14C Global 128GB 4GB RAM Dual SIM Tela 6.88"" - Black - Preto",5.0 (2),"R$ 1.099,00","R$ 919,86","R$ 1.022,07"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Claro 4G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",4.8 (8699),"R$ 1.899,90","R$ 1.107,48","R$ 1.230,53"
